"cod_cliente";"primeira_assinatura";"valor_ativo_total";"valor_cancelado_total";"qtd_contratos_ativos";"qtd_contratos_cancelados";"flg_ja_sofreu_downgrade";"qtd_tarefas_total";"dias_ultima_tarefa";"tarefas_90d";"media_dias_exec";"qtd_tarefas_abertas";"qtd_categorias_distintas";"qtd_subcategorias_distintas";"qtd_grupos_envolvidos";"qt_tarefas_bug";"qt_tarefas_reducao";"qtd_prioridade_normal";"qtd_prioridade_parcial";"qtd_prioridade_urgente";"qtd_prioridade_maxima";"qtd_prioridade_reforco";"perc_prioridade_maxima";"perc_tarefas_abertas";"churn"
"37859";"2017-09-13";"0,00";"950,99";"0";"2";"0";"152";"433";"0";"21,5329";"0";"19";"43";"17";"1";"0";"136";"3";"4";"9";"0";"5,9200";"0,0000";"1"
"37869";"2017-08-21";"0,00";"83,54";"0";"1";"0";"4";"1939";"0";"9,7500";"0";"3";"3";"4";"0";"0";"4";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37870";"2017-08-18";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37871";"2018-01-25";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37872";"2017-08-23";"0,00";"113,42";"0";"1";"0";"5";"1686";"0";"4,6000";"0";"3";"3";"2";"0";"0";"5";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37877";"2017-09-05";"0,00";"158,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37896";"2017-08-25";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37903";"2018-07-20";"0,00";"248,04";"0";"1";"0";"4";"2011";"0";"225,0000";"0";"4";"4";"2";"0";"0";"4";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37904";"2017-09-22";"0,00";"79,00";"0";"1";"0";"1";"2693";"0";"28,0000";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37906";"2017-08-25";"0,00";"326,64";"0";"1";"0";"3";"2542";"0";"318,0000";"0";"2";"3";"2";"0";"0";"3";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37908";"2017-09-15";"1209,55";"0,00";"1";"0";"0";"6";"940";"0";"6,8000";"0";"2";"3";"4";"0";"0";"6";"0";"0";"0";"0";"0,0000";"0,0000";"0"
"37911";"2017-09-05";"649,00";"244,64";"1";"1";"1";"4";"439";"0";"5,7500";"0";"4";"4";"2";"0";"0";"4";"0";"0";"0";"0";"0,0000";"0,0000";"0"
"37916";"2018-04-20";"0,00";"199,00";"0";"2";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37926";"2017-10-10";"0,00";"102,39";"0";"1";"0";"6";"2298";"0";"5,6667";"0";"4";"4";"2";"0";"0";"6";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37940";"2017-10-20";"1909,89";"0,00";"1";"0";"0";"410";"13";"31";"8,5782";"1";"33";"78";"19";"4";"3";"382";"7";"13";"8";"0";"1,9500";"0,2400";"0"
"37943";"2017-09-05";"792,88";"0,00";"1";"0";"0";"234";"85";"5";"5,0300";"0";"23";"47";"20";"1";"1";"220";"2";"4";"8";"0";"3,4200";"0,0000";"0"
"37947";"2017-09-05";"0,00";"99,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37948";"2017-09-12";"0,00";"158,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37949";"2018-02-06";"0,00";"100,27";"0";"1";"0";"9";"1486";"0";"8,0000";"0";"5";"7";"5";"0";"0";"8";"0";"0";"1";"0";"11,1100";"0,0000";"1"
"37952";"2017-09-06";"0,00";"81,55";"0";"1";"0";"9";"2417";"0";"11,3333";"0";"4";"4";"3";"0";"0";"9";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37957";"2019-12-20";"7898,30";"0,00";"1";"0";"0";"732";"9";"8";"2,2033";"3";"22";"35";"13";"1";"0";"730";"1";"1";"0";"0";"0,0000";"0,4100";"0"
"37960";"2017-09-15";"2414,81";"60,00";"1";"1";"1";"80";"8";"7";"11,1026";"1";"19";"33";"12";"0";"0";"74";"0";"4";"2";"0";"2,5000";"1,2500";"0"
"37966";"2017-10-26";"0,00";"99,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37970";"2017-09-05";"0,00";"163,09";"0";"1";"0";"11";"2227";"0";"18,5455";"0";"4";"6";"5";"0";"0";"11";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37976";"2017-10-04";"0,00";"99,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37978";"2017-09-06";"0,00";"549,75";"0";"1";"0";"14";"517";"0";"2,8571";"0";"6";"10";"6";"0";"0";"11";"0";"1";"2";"0";"14,2900";"0,0000";"1"
"37995";"2017-12-22";"1298,88";"0,00";"1";"0";"0";"32";"153";"0";"26,1563";"0";"11";"18";"10";"0";"0";"25";"2";"3";"2";"0";"6,2500";"0,0000";"0"
"38000";"2017-08-06";"0,00";"246,49";"0";"1";"0";"1";"2765";"0";"5,0000";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"38002";"2017-10-20";"5028,43";"0,00";"1";"0";"0";"1299";"0";"38";"18,2285";"7";"35";"153";"22";"108";"0";"1194";"21";"48";"36";"0";"2,7700";"0,5400";"0"
"38014";"2019-05-31";"0,00";"40,00";"0";"1";"0";"1";"2541";"0";"208,0000";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"38016";"2017-09-15";"0,00";"99,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"38024";"2017-09-15";"0,00";"178,00";"0";"1";"0";"10";"2449";"0";"10,1000";"0";"5";"6";"4";"0";"0";"10";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"38026";"2019-12-18";"0,00";"250,00";"0";"2";"0";"1";"2344";"0";"55,0000";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"38038";"2017-09-20";"0,00";"158,00";"0";"1";"0";"7";"2577";"0";"12,8571";"0";"5";"6";"4";"0";"0";"7";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"38041";"2017-09-29";"0,00";"99,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"38043";"2017-09-29";"1041,25";"0,00";"1";"0";"0";"17";"995";"0";"54,8235";"0";"6";"8";"10";"0";"0";"15";"0";"1";"1";"0";"5,8800";"0,0000";"0"
