"cod_cliente";"primeira_assinatura";"valor_ativo_total";"valor_cancelado_total";"qtd_contratos_ativos";"qtd_contratos_cancelados";"flg_ja_sofreu_downgrade";"tarefas_90d";"qtd_tarefas_total";"media_dias_exec";"qt_tarefas_sd";"media_dias_exec_tarefa_sd";"qt_tarefas_hd";"media_dias_exec_tarefa_hd";"qt_tarefas_reclamacao";"media_dias_exec_reclamacao";"qt_tarefas_reducao";"media_dias_exec_reducao";"qt_tarefas_bug";"media_dias_exec_bug";"dias_ultima_tarefa";"qtd_categorias_distintas";"qtd_subcategorias_distintas";"qtd_grupos_envolvidos";"qtd_prioridade_normal";"qtd_prioridade_parcial";"qtd_prioridade_urgente";"qtd_prioridade_maxima";"qtd_prioridade_reforco";"perc_prioridade_maxima";"churn"
"22896";"2013-08-09";"0,00";"904,91";"0";"2";"0";"0";"35";"9,0286";"4";"6,7500";"12";"7,4167";"0";"0,0000";"0";"0,0000";"0";"0,0000";"351";"11";"16";"11";"34";"0";"0";"1";"0";"2,8600";"1"
"22908";"2016-05-16";"0,00";"316,00";"0";"1";"0";"0";"3";"3,6667";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"195";"2";"1";"3";"3";"0";"0";"0";"0";"0,0000";"1"
"22921";"2013-08-21";"0,00";"247,09";"0";"1";"0";"0";"10";"8,2000";"3";"7,6667";"3";"7,3333";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"6";"3";"6";"10";"0";"0";"0";"0";"0,0000";"1"
"22929";"2013-08-22";"0,00";"630,70";"0";"1";"0";"0";"63";"12,9365";"7";"6,5714";"29";"13,8276";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"13";"2";"10";"63";"0";"0";"0";"0";"0,0000";"1"
"22945";"2013-10-15";"0,00";"79,00";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
"22955";"2014-11-14";"0,00";"238,06";"0";"2";"0";"0";"102";"9,7647";"6";"10,6667";"56";"7,9643";"0";"0,0000";"0";"0,0000";"0";"0,0000";"126";"20";"33";"16";"95";"1";"1";"3";"2";"2,9400";"1"
"22973";"2013-09-16";"0,00";"170,92";"0";"1";"0";"0";"27";"6,0741";"5";"6,6000";"15";"5,7333";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"9";"1";"8";"27";"0";"0";"0";"0";"0,0000";"1"
"22974";"2013-09-17";"0,00";"135,00";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
"22975";"2013-08-28";"0,00";"115,00";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
"22988";"2013-09-27";"0,00";"204,19";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"1006";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
